proverb	topic
Стращай того, кто не смыслит ничего!	Гроза — Кара
Грозит мышь кошке, да издалече (или: да из подполья, из  норы).	Гроза — Кара
Бил дед жабу, грозясь на бабу.	Гроза — Кара
Он в рукавице (или: в кармане) кукиш кажет.	Гроза — Кара
Я тебе слуга, да туга.	Гроза — Кара
Его сразу не раскусишь. Тугонек я тебе орешек дался.	Гроза — Кара
Тише пыли: не твои бобыли. Прощай, да не стращай!	Гроза — Кара
Не съешь меня. Не проглони меня целиком.	Гроза — Кара
Глядит, будто пятерых живьем (или: целиком) проглотил,  шестым поперхнулся.	Гроза — Кара
Что, аль живьем проглотишь? — Гляди, не поперхнись!	Гроза — Кара
Полно козырять. Что больно козыряешь? Что раскозырялся?	Гроза — Кара
Не поймав, не щиплют.	Гроза — Кара
И в руках не подержал, а уж и отеребил.	Гроза — Кара
Чайка кики, а казак хихи (т. е. смеется над вестницей дурной  погоды).	Гроза — Кара
Страшен сон, да милостив бог.	Гроза — Кара
Слыхивали мы слухи (или: сказки). Сказывали и мы сказки.	Гроза — Кара
Видывали мы виды.	Гроза — Кара
Видали мы, слыхали мы, и сами едали, и других кармливали.	Гроза — Кара
И мы видывали, да и не завидовали.	Гроза — Кара
Своих не стращай: наши и так не боятся.	Гроза — Кара
Гроз твоих не боюся, а ласка не нужна.	Гроза — Кара
Подбери губы-те: городничий едет (полно дуться, сердиться).	Гроза — Кара
Застрелю, да и хоронить не велю.	Гроза — Кара
Наш супостат хочет голову снять.	Гроза — Кара
Кто идет! Говори, убью: не дай домой за ружьем сбегать  (дразнят гарнизонных).	Гроза — Кара
Баба едет, хочет башню сбить; воевода глядит, куда башня  полетит.	Гроза — Кара
Разбил дед деревню, и баба — горшок.	Гроза — Кара
Не во всякой туче гром; а и гром, да не грянет; а и грянет,  да не по нас; а и по нас — авось опалит, не убьет.	Гроза — Кара
Не все бьет, что гремит.	Гроза — Кара
Не всяка собака кусает, котора лает.	Гроза — Кара
Не всяк кусает, кто усом трясет (или: усом моргает).	Гроза — Кара
Много грозит, да мало вредит.	Гроза — Кара
Кто много грозит, тот мало вредит.	Гроза — Кара
Не всяк умирает, кто хворает.	Гроза — Кара
Не всяка болезнь к смерти.	Гроза — Кара
Не всяка потягота к лихоманке (прибавка: иная к росту).	Гроза — Кара
Что зубы ощерил? Аль железо увидел?	Гроза — Кара
Еще казацка матка не умерла (т. е. сабля Богд.  Хмельницкого).	Гроза — Кара
Не велика птица.	Гроза — Кара
Не велика птица колпица.	Гроза — Кара
Невеличка птичка синичка.	Гроза — Кара
Мне и частный нипочем, был бы будочник знаком.	Гроза — Кара
Мне все нипочем, был бы будочник знаком.	Гроза — Кара
В начале всякое дело строго (о законе, начальстве).	Гроза — Кара
Снова метла резко мела, а обилась — притупела.	Гроза — Кара
Новый гребень дерет. Снову и гребень дерет, а причешется —  мирится.	Гроза — Кара
Обойдешь да огладишь, так и на строгого коня сядешь.	Гроза — Кара
Наш воевода, что понурая кобыла: за повод возьми, да куда  хошь веди.	Гроза — Кара
Вот воевода к нам ползет, щетинку в зубах несет (рак).	Гроза — Кара
На воеводу просить — наперед самому в тюрьму идтить.	Гроза — Кара
За наши грехи и Терехи дьяки.	Гроза — Кара
Наказал бог народ — наслал воевод.	Гроза — Кара
Худо овцам, где волк в пастухах. Плохо овцам, коли волк  пастух.	Гроза — Кара
Староста по накладке не тужит (по прибавке расходов).	Гроза — Кара
Правит, как черт болотом.	Гроза — Кара
Правит, как медведь в лесу дуги гнет (прибавка: гнет — не  парит, а переломит — не тужит).	Гроза — Кара
Воевода год помечает, а два отвечает. Год пометы, а три  ответа (от старин. срока).	Гроза — Кара
Дьяк у места, что кот у теста; а дьяк на площади (т. е. у  казни) — так, господи, прости (или: помози).	Гроза — Кара
Как дьяк у места, так всем от него тесно; а как дьяк на  площади, так, господи, пощади!	Гроза — Кара
Таскал волк — потащили и волка.	Гроза — Кара
Гоняет волк, а как погонят волка?	Гроза — Кара
Вот волку несут, а как волка-то понесут?..	Гроза — Кара
Помутися народ, накорми воевод! Помути бог народ, накорми  воевод!	Гроза — Кара
Овцы и мрут и ягнятся, а пастухи все жирятся.	Гроза — Кара
У старосты с приказчиком лад — помещику наклад.	Гроза — Кара
Кошки грызутся — мышам приволье (или: раздолье).	Гроза — Кара
Пастухи за чубы, а волки за овец.	Гроза — Кара
Орлы бьются, а молодцам перья достаются.	Гроза — Кара
Попадешься в руки — натерпишься муки.	Гроза — Кара
Пуще божьего милосердия (изобью, покараю).	Гроза — Кара
Тяжело голове без плеч, худо и телу без головы.	Гроза — Кара
Судить-рядить не умеет, а бить разумеет.	Гроза — Кара
И всяк водит, да не всяк доводит!	Гроза — Кара
Не говоря худого слова, да в рыло (или: да по загривку).	Гроза — Кара
Он не дает мне и пальцем пошевелить!	Гроза — Кара
Не смей (или: Не смеет) перед ним пикнуть.	Гроза — Кара
Будешь ты кулаком слезы утирать.	Гроза — Кара
Без шапки стоя, не много наговоришь.	Гроза — Кара
Переминаясь с ноги на ногу, не раскалякаешься.	Гроза — Кара
Начальство не свой брат: много говорить не станешь.	Гроза — Кара
Барин говорит горлом, мужик горбом (т. е. только кланяется).	Гроза — Кара
Он из своих рук правит (или: управляет, т. е. дерется).	Гроза — Кара
Укроти, господи, командирское сердце!	Гроза — Кара
Рад госпоже, что меду на ноже (прибавка: полижешь, да и  обрежешься).	Гроза — Кара
Честь добра — во всю спину равна.	Гроза — Кара
Не одним головой свет стоит (т. е. не одним волостным  головой. Иначе: Не об одной голове, или: Не одной головой свет стоит).	Гроза — Кара
Есть и на черта гром (или: гроза).	Гроза — Кара
Кусают и комары до поры. Рубят и топоры до поры.	Гроза — Кара
Вырос лес, так выросло и топорище.	Гроза — Кара
Вода с гор, так и речки мутны (говор. о слугах).	Гроза — Кара
С гор вода налегла — и речки помутились.	Гроза — Кара
Коли худ князь, так в грязь (говор. новгородцы).	Гроза — Кара
Не с добра волости встают.	Гроза — Кара
Все ну, да ну, а тпрукнуть-то и некому.	Гроза — Кара
Поводья затянуть (о чрезмерной строгости).	Гроза — Кара
На ретивую лошадь не кнут, а вожжи.	Гроза — Кара
Не спеши карать, спеши миловать!	Гроза — Кара
Не спеши голову рубить, прикажи наперед речь говорить!	Гроза — Кара
Виноватого кровь вода, а невинного беда.	Гроза — Кара
Не спеши казнить, дай выговорить!	Гроза — Кара
Не прикажи голову рубить, прикажи речь говорить (или: слово  выговорить).	Гроза — Кара
Остер шип на подкове — скоро сбивается.	Гроза — Кара
Где грозно, там и розно (или: там и честно).	Гроза — Кара
От грозы либо все в кучу, либо все врознь.	Гроза — Кара
Не слушаешь духа кротости, так палкой по кости.	Гроза — Кара
Виноватых прощают, а правых жалуют. Виноватого бог простит,  а правого царь пожалует.	Гроза — Кара
Ступай домой — и бог с тобой.	Гроза — Кара
Невольный грех (или: прегрешение) отпускается.	Гроза — Кара
В первой вине и бог прощает.	Гроза — Кара
До двух раз прощают и в третьи бьют.	Гроза — Кара
Всякая вина виновата. Не всякая вина виновата.	Гроза — Кара
Третья вина виновата.	Гроза — Кара
До трех раз прощай! Три раза прости, в четвертый похворости!	Гроза — Кара
Десятая вина виновата (когда наказывают десятого).	Гроза — Кара
Тюрьма не дурна: пуста (или: без жильцов) не стоит.	Гроза — Кара
На деле прав, да на дыбе (т. е. пытке) виноват.	Гроза — Кара
И поят, и кормят, и спину порют.	Гроза — Кара
По горбу-то всяк, а под губу (или: по сердцу) никто.	Гроза — Кара
Изручь бьет, да не изручь кормит.	Гроза — Кара
Бить-бранить есть кому, кормить некому.	Гроза — Кара
Веников много, да пару нет.	Гроза — Кара
Почем нанялись? — Да семь дней работы, а спать на себя (или:  про себя).	Гроза — Кара
Друг на дружку, а все на Петрушку.	Гроза — Кара
Аль я виновата, что рубаха дыровата?	Гроза — Кара
Не от свата, что девка космата.	Гроза — Кара
Помнит свекровь свою молодость и снохе не верит.	Гроза — Кара
Мал грех, да большую вину несет (или: творит).	Гроза — Кара
Этот грех — и всего-то три пятницы молока не хлебать.	Гроза — Кара
Наш грех стыдно и попу сказать (т. е. так ничтожен).	Гроза — Кара
Грех с орех, ядро с ведро (т. е. преувеличен).	Гроза — Кара
Грех грехом, а вина виной.	Гроза — Кара
Дело не велико, да воевода крут: свил мочальный кнут.	Гроза — Кара
И кнут не дороже ста рублев (т. е. наказывали им за сто  рублей кражи).	Гроза — Кара
Милости просим, отец Абросим: тебе ли с нами — садись под  иконы (насмешка).	Гроза — Кара
Прости меня, моя мила, что ты меня била (говор. муж жене).	Гроза — Кара
И сердится, да умилосердится.	Гроза — Кара
Что мало бьешь его? — Да больше не стоит.	Гроза — Кара
Сколько пива, столько и песен (и наоборот).	Гроза — Кара
Каков молебен, такова и плата.	Гроза — Кара
Каковы деньги, таков и молебен.	Гроза — Кара
По молебну и плата. По деньгам молебен.	Гроза — Кара
Комуждо воздается по делом его.	Гроза — Кара
Добро вспомянется, а лихо не забудется.	Гроза — Кара
В ню же меру мерите, возмерится и вам.	Гроза — Кара
По старцу и милостыня. Это не по старцу милостыня.	Гроза — Кара
Каков работник, такова ему и плата. По работе и плата.	Гроза — Кара
Каков гость, таково ему и угощение.	Гроза — Кара
Каковы гости, таков и пир.	Гроза — Кара
Каковы дружки, таковы им и пирожки.	Гроза — Кара
По гостям и пиво (или: и брага).	Гроза — Кара
По батьке и пиво, по бабе и брага.	Гроза — Кара
Бог уста льстивых погубляет (или: постыжает).	Гроза — Кара
Этого греха и земля не снесет. Как его, грешника, мать сыра  земля носит!	Гроза — Кара
Неправого бог попутает (или: покарает).	Гроза — Кара
Кто неправдой живет, тог бог убьет.	Гроза — Кара
Виноватого бог найдет (сыщет). Нападчика бог найдет.	Гроза — Кара
Божий гнев (или: Божья кара) его постигнет.	Гроза — Кара
Рок виноватого (или: обреченного) найдет.	Гроза — Кара
Бог долго ждет, да больно бьет.	Гроза — Кара
Добыть грех можно, а избыть тошно.	Гроза — Кара
Бог рассудит, да не скоро нам скажет.	Гроза — Кара
Богу на грех, добрым людям на смех.	Гроза — Кара
От бога грех, а от людей посмех.	Гроза — Кара
В чем смех, в том и грех (и наоборот).	Гроза — Кара
Мал смех, да велик грех.	Гроза — Кара
Много смеху, да немало и греха. Сколько смеху, столько  греха.	Гроза — Кара
Как кого звать, так и поминать.	Вина — Заслуга
Что душа упасла, то и на тот свет понесла.	Вина — Заслуга
Ад стонет и рыдает, грешных к себе прибирает (или:  призывает).	Вина — Заслуга
На суде божьем право пойдет направо, а криво налево.	Вина — Заслуга
Он посрамлен будет в день Страшного суда.	Вина — Заслуга
Каков до бога, таково и от бога.	Вина — Заслуга
Ладан на чертей, а тюрьма на татей.	Вина — Заслуга
По жильцу квартира, по горшку и покрышка.	Вина — Заслуга
По барыне говядина, по харчевне едок.	Вина — Заслуга
За грехи мука, за воровство кнут.	Вина — Заслуга
По привету ответ, по заслуге почет.	Вина — Заслуга
Какова постель, таков и сон.	Вина — Заслуга
Как скроишь, так тачать станешь.	Вина — Заслуга
Каково сошьешь, таково и износишь.	Вина — Заслуга
Каково сделается, таково и износится.	Вина — Заслуга
Как ручки сделают, так спинка износит.	Вина — Заслуга
Каков промысел, такова и добыча.	Вина — Заслуга
Что нальешь, то и выпьешь.	Вина — Заслуга
Что накрошишь, то и выхлебаешь. Каково накрошишь, таково и  расхлебаешь.	Вина — Заслуга
Накрошил, так и выхлебай! Сам накрошил, сам и выхлебай!	Вина — Заслуга
Каково испечешь, таково и съешь. Каково испечется, таково  съестся.	Вина — Заслуга
Сама испекла пирожок, сама и кушай!	Вина — Заслуга
Что откусишь, то и съешь.	Вина — Заслуга
Что посеешь, то и пожнешь. Что пожнешь, то и смолотишь.	Вина — Заслуга
Что смолотишь, то и смелешь. Что смелешь, то и съешь.	Вина — Заслуга
Кто посеял, тот и пожал.	Вина — Заслуга
Кто за сколько душ тянет, столько и землицы берет.	Вина — Заслуга
По тяге и поле.	Вина — Заслуга
Лихое лихому, а доброе доброму.	Вина — Заслуга
Как нажито, так и прожито.	Вина — Заслуга
За доброе жди добра, за худо худа! На лихо жди лиха, на  добро добро!	Вина — Заслуга
Собака достойна корму.	Вина — Заслуга
Какова псу кормля, такова его и ловля. Какова ловля пса,  такова ему и кормля.	Вина — Заслуга
Какову чашу другу налил, такову и самому пить.	Вина — Заслуга
Не подставляй ноги; на самого спотычка нападет.	Вина — Заслуга
Закрой чужой грех — бог два простит!	Вина — Заслуга
Над другом посмеялся, над собою поплачешь.	Вина — Заслуга
Доносчику первый кнут. Доказчику первая мука.	Вина — Заслуга
Не груби малому, не попомнит старый! Не обидь малого, не  помянет старый.	Вина — Заслуга
Не дразни собаки, и лаять (или: кусать) не станет.	Вина — Заслуга
Не дразни собаки, и хозяин не ощерится.	Вина — Заслуга
Не тычь в подворотню, и собаки не залают.	Вина — Заслуга
Этот песок прильнет на носок (т. е. отзовется).	Вина — Заслуга
Отольются медведю коровьи слезы.	Вина — Заслуга
Отольются волку овечьи слезы.	Вина — Заслуга
Отольются кошке мышкины слезки.	Вина — Заслуга
Вор ворует до поры до времени.	Вина — Заслуга
До часу (или: До поры) и кувшин по воду ходит.	Вина — Заслуга
Не умела песья нога на блюде лежать, так под лавкой  наваляется.	Вина — Заслуга
Не умел шить золотом, так бей молотом!	Вина — Заслуга
Не умел играть комом — играй желваком.	Вина — Заслуга
Потерял яичко — играй желвачком!	Вина — Заслуга
Чему посмеешься, тому и поработаешь.	Вина — Заслуга
Не знаешь чести, так палок двести.	Вина — Заслуга
Он сам на себя нож точит. Он сам на себя плеть свил.	Вина — Заслуга
Он сам в петлю лезет.	Вина — Заслуга
Он сам на себя палку подает.	Вина — Заслуга
Он сам на себя в кнут узлов навязал.	Вина — Заслуга
Сама себя раба бьет, коли не чисто жнет.	Вина — Заслуга
Кто помечтает, тот и отвечает (т. е. о воеводе).	Вина — Заслуга
Плачьте, очи: сами видели, что покупали (сказал цыган, купив  на грош, чего больше дадут — охапку хрену).	Вина — Заслуга
Наругался француз, да не надолго (о 1812 г.).	Вина — Заслуга
Сам себя сжег француз, сам и поморозил (о 1812 г.).	Вина — Заслуга
Поделом вору и мука (а разбойнику кнут).	Вина — Заслуга
На свою голову. На свою шею.	Вина — Заслуга
Черту баран (прибавка: давно одран).	Вина — Заслуга
Туда и дорога. Давно пора и с головой туда.	Вина — Заслуга
По зубам, да по когтям и зверя знать (или: и зверю слава).	Вина — Заслуга
Какова смерть, таковы и похороны.	Вина — Заслуга
Какова пелена, такова ей и цена.	Вина — Заслуга
Каковы сами, таковы и сани.	Вина — Заслуга
Каков Пахом, такова и шапка на нем.	Вина — Заслуга
Каков Савва, такова ему и слава.	Вина — Заслуга
Каков купец (т. е. покупатель), таков и продавец.	Вина — Заслуга
По заслуге молодца и жалуют (а по изотчеству чествуют).	Вина — Заслуга
По Ивашке и рубашка.	Вина — Заслуга
По бабе и брага (а по девке жених).	Вина — Заслуга
Какова дворница, такова ей и горница.	Вина — Заслуга
Каков едет, таков и погоняет.	Вина — Заслуга
По Сеньке и шапка (по Ереме колпак).	Вина — Заслуга
По Сеньке шлык, коли косенько сшит.	Вина — Заслуга
Каков Мартын, таков у него и алтын.	Вина — Заслуга
Какова баба, такова ей и слава.	Вина — Заслуга
Каков дядя до людей, таково ему и от людей.	Вина — Заслуга
Как кому верят, так тому и мерят.	Вина — Заслуга
Лыска не берет лишку: одну корку.	Вина — Заслуга
По бороде давно бы ему быть в воде.	Вина — Заслуга
По бороде быть бы тебе в воде, да усы не пускают.	Вина — Заслуга
По бороде — Авраам, а по делам — Хам.	Вина — Заслуга
Люблю (или: Хвалю) молодца за обычай.	Вина — Заслуга
Люблю парня за ухватки (а девку за уловки).	Вина — Заслуга
Пей-ка, на дне копейка! Еще попьешь, грош найдешь (от  свадебн. обычая класть в вино, за окуп невесты, деньги).	Вина — Заслуга
Об нем песни напевают, сказки сказывают.	Вина — Заслуга
Он красным девушкам во сне снится.	Вина — Заслуга
По заслугам и почет. Каков есть, такова и честь.	Вина — Заслуга
В церкви дорога, на перевозе место (ордену).	Вина — Заслуга
Какова печка, таковы и перепечки.	Вина — Заслуга
Не достоин послушать его краем уха. Не стоит волоса его.	Вина — Заслуга
В подметки ему не годится.	Вина — Заслуга
Не достоин коснуться праха ног его.	Вина — Заслуга
Кабы на сойку да не свой язычок (так бы и не погибала).	Вина — Заслуга
Кабы на дятла да не свой носок (никто бы его не нашел).	Вина — Заслуга
Всякая сорока от своего языка погибает.	Вина — Заслуга
Всяк от своих дел осудится и оправится.	Вина — Заслуга
Как свистнуло, так и гаркнуло. Что свистнуло, то и гаркнуло.	Вина — Заслуга
Каково аукнешь, таково и откликнется.	Вина — Заслуга
Каково стукнешь, таково и отзовется. Каков голк, таков и  гул.	Вина — Заслуга
Коим голосом рявкнул, таким и отрявкнулось.	Вина — Заслуга
Что покушал, тем и отрыгается.	Вина — Заслуга
Каков вопрос, таков и ответ.	Вина — Заслуга
На бешеный вопрос да круговой (т. е. сумасшедший) ответ.	Вина — Заслуга
Каково в лесу кликнется, таково и откликнется.	Вина — Заслуга
Кого зазвал, с тем и пестуйся!	Вина — Заслуга
Какого гостя позовешь, с таким и побеседуешь.	Вина — Заслуга
Не платит богатый, платит виноватый (т. е. долг либо пеню).	Вина — Заслуга
У людей красть, самому не класть.	Вина — Заслуга
Добра желаешь, добро и делай!	Вина — Заслуга
Всяк сам себе и друг и недруг (или: ворог).	Вина — Заслуга
Кто друг себе, а кто недруг.	Вина — Заслуга
Эта плата тою же монетою.	Вина — Заслуга
Каково винцо, таково и заздравьецо.	Вина — Заслуга
Какова погудка, такова и пляска.	Вина — Заслуга
По пляске погудка, по песне припев.	Вина — Заслуга
По словам песни и голос. По песне и напев.	Вина — Заслуга
Какова кринка, такова на ней и латка.	Вина — Заслуга
Что ешь, то и жуешь; что прожевал, то и глотаешь.	Вина — Заслуга
Накануне семика проучил прасол мясника, а на самый на семик  прасола мясник (т. е. в продаже скота и говядины).	Вина — Заслуга
Свой нос резать — свое лицо бесчестить.	Вина — Заслуга
Сам свою бороду оплевал.	Вина — Заслуга
Себе спит, на себя и грезит.	Вина — Заслуга
Кто ветром служит, тому дымом платят.	Вина — Заслуга
Мой грех до меня дошел (т. е. я наказан).	Вина — Заслуга
За недобрым пойдешь, на беду набредешь.	Вина — Заслуга
За худым пойдешь, худо и будет (или: худое и найдешь).	Вина — Заслуга
За худые дела слетит и голова.	Вина — Заслуга
Вору виселица неизменный друг.	Вина — Заслуга
По заслугам вора жалуют.	Вина — Заслуга
По заслугам Ваньку Каину пожаловали (двумя столбами с  перекладиной).	Вина — Заслуга
Не я бью, сам себя бьешь. Не верба бьет — старый грех.	Вина — Заслуга
Наступил на зубья — граблями в лоб.	Вина — Заслуга
Сам на беду (или: на грех) называется (или: напрашивается).	Вина — Заслуга
Напросился, так и напляшись.	Вина — Заслуга
Несть милости не сотворшему милости.	Вина — Заслуга
Не кто совал (или: Не черт совал), сам попал.	Вина — Заслуга
Не шут (или: Не черт) совал (или: толкал, копал), сам попал.	Вина — Заслуга
Не лезь в петлю, и головы не увязишь.	Вина — Заслуга
Черт ли нес на дырявый мост?	Вина — Заслуга
Мужик с печи упал — не кто его толкал.	Вина — Заслуга
Не кто в петлю тянул, сам влез.	Вина — Заслуга
Запутался, что мизгирь в тенетах.	Вина — Заслуга
Сколько вору ни воровать, а виселицы не миновать.	Вина — Заслуга
Зов — великое дело. Взывая и царя дозовешься.	Просьба — Согласие — Отказ
На чужой совет без зову не ходи!	Просьба — Согласие — Отказ
Толцыте, и отверзется; просите, и дастся.	Просьба — Согласие — Отказ
Дитя не плачет, мать не разумеет (или: не слышит).	Просьба — Согласие — Отказ
Под спудом и не обиняк век пролежит, не скажется.	Просьба — Согласие — Отказ
Попытка не пытка (или: не шутка), а спрос не беда.	Просьба — Согласие — Отказ
Ушел, не ушел, а побежать можно.	Просьба — Согласие — Отказ
Не дадут, так и в грех не введут.	Просьба — Согласие — Отказ
За спрос денег не берут.	Просьба — Согласие — Отказ
За спрос, что за показ, денег не берут.	Просьба — Согласие — Отказ
Проси (Ищи), как хлеба просят (ищут).	Просьба — Согласие — Отказ
Спрос не грех, отказ не беда.	Просьба — Согласие — Отказ
Запрос в карман не лезет (или: не ходит).	Просьба — Согласие — Отказ
Запрос по рылу не ударит.	Просьба — Согласие — Отказ
Отказ не обух, шишек на лбу не будет.	Просьба — Согласие — Отказ
Прося пива, не напьешься (коли не дадут).	Просьба — Согласие — Отказ
Прося — не напитьтся, а дадут — не залиться.	Просьба — Согласие — Отказ
Дадут — в мешок, не дадут — в другой.	Просьба — Согласие — Отказ
Спасибо здешнему дому, идти было к другому (или: к иному).	Просьба — Согласие — Отказ
Спасибо, кумушка, на бражке, а с похмелья головушка болит.	Просьба — Согласие — Отказ
Кума, сойди с ума; купи вина!	Просьба — Согласие — Отказ
Поди в коробейку, подай копейку; поди в сундучок, подай  пятачок; поди в огнивенку, подай гривенку (славят Христа).	Просьба — Согласие — Отказ
Подайте на погорелое! Прибавь на бедность!	Просьба — Согласие — Отказ
Абросим не просит, а дадут — не бросит.	Просьба — Согласие — Отказ
Дают — бери; бранят — беги!Он только этим и бредит. Он  только и видит во сне; и спит и видит.	Просьба — Согласие — Отказ
Глаза видят, брюхо просит, язык скажет, руки сгребут.	Просьба — Согласие — Отказ
Что просится, то и скажется. Голодной куме хлеб на уме.	Просьба — Согласие — Отказ
Он семь лет все на одной дудке играет.	Просьба — Согласие — Отказ
Что у кого болит, тот о том и говорит.	Просьба — Согласие — Отказ
Голодной курице просо снится.	Просьба — Согласие — Отказ
Лиса и во сне кур считает. Одна дума — и та нейдет с ума.	Просьба — Согласие — Отказ
Куда ворона летит, туда и глядит.	Просьба — Согласие — Отказ
Брюхом захотелось. Так захотелось, что вынь да положь!	Просьба — Согласие — Отказ
Так захотелось, что хоть роди да подай!	Просьба — Согласие — Отказ
Его хлебом (или: калачом) не корми, а сделай то и то.	Просьба — Согласие — Отказ
Захотелось худого, что доброго.	Просьба — Согласие — Отказ
Лихое гляденье пуще доброго прошенья (о зависти).	Просьба — Согласие — Отказ
Он на этом помешан (или: помешался).	Просьба — Согласие — Отказ
Всякое дыхание любит даяние.	Просьба — Согласие — Отказ
Доброе молчание — чем не ответ?	Просьба — Согласие — Отказ
Тихое молчанье ничем (или: ничему) не ответ.	Просьба — Согласие — Отказ
Молчание — знак согласия.	Просьба — Согласие — Отказ
Крепкое молчанье ни в чем не ответ.	Просьба — Согласие — Отказ
Положить ружье (т. е. не спорить, согласиться).	Просьба — Согласие — Отказ
Владей, Фаддей, нашей Наташей (т. е. согласен).	Просьба — Согласие — Отказ
Этого Кузьму я и сам возьму.	Просьба — Согласие — Отказ
Я человек хожалый: куда хошь, пожалуй!	Просьба — Согласие — Отказ
Где твой разум, тут и мой; где твое слово, тут и мое.	Просьба — Согласие — Отказ
По божьему веленью, по царскому уложенью, по господской  воле, по мирскому приговору (приговор. на свадьбах).	Просьба — Согласие — Отказ
Ель аль сосна? (т. е. да или нет, согласие или отказ).	Просьба — Согласие — Отказ
Будешь во времени — и меня вспомяни!	Просьба — Согласие — Отказ
Махнули пола об полу, ударили рука об руку.	Просьба — Согласие — Отказ
По рукам, да и в баню (от обычая молодых).	Просьба — Согласие — Отказ
Гости позваны и постели постланы.	Просьба — Согласие — Отказ
По речку рубеж (т. е. кончено дело, согласны).	Просьба — Согласие — Отказ
Есть тот грех. Есть маленько.	Просьба — Согласие — Отказ
Не без чего. Не без того. Что так, то так.	Просьба — Согласие — Отказ
Об этом ни гугу. Про это ни слова (т. е. не спорь).	Просьба — Согласие — Отказ
И не заикнулся. Не заикнусь, сделаю то и то.	Просьба — Согласие — Отказ
В руку сон. Как в руку сон.	Просьба — Согласие — Отказ
Быть тому так, коли пометил дьяк (или: как пометил дьяк).	Просьба — Согласие — Отказ
Вижу и сама, что муж мой без ума (или: что я из ума).	Просьба — Согласие — Отказ
Положи две денежки на шапочку, да дядюшке челом, а дядя сам  знает о чем.	Просьба — Согласие — Отказ
Не в службу, а в дружбу.	Просьба — Согласие — Отказ
В упрос прошу, да об руку челом.	Просьба — Согласие — Отказ
Дорожка до вас — ищите краше нас (от известной игры).	Просьба — Согласие — Отказ
Поклон с хохлом, челобитье с шишкой. Поклон, да и вон.	Просьба — Согласие — Отказ
Поклон — что дуга; отказ — что шест.	Просьба — Согласие — Отказ
Занято подворье без вашего здоровья.	Просьба — Согласие — Отказ
Не велик пан, перелезешь и сам.	Просьба — Согласие — Отказ
Не новгородский дворянин, и сам сходишь.	Просьба — Согласие — Отказ
Сесть бы на пенек, да съесть бы пирожок (из сказки).	Просьба — Согласие — Отказ
Лакомый кусок, только бы попал в роток.	Просьба — Согласие — Отказ
Охоча старица до скляницы.	Просьба — Согласие — Отказ
Противна, как нищему гривна.	Просьба — Согласие — Отказ
Зелен виноград — когда не дают. Кисел виноград, зелен.	Просьба — Согласие — Отказ
Хоть биту бить, а за реку плыть.	Просьба — Согласие — Отказ
Хоть пловом (или: уплынь) плыть, а у кума (или: у тещи)  быть.	Просьба — Согласие — Отказ
Хочется есть, да не хочется лезть.	Просьба — Согласие — Отказ
Хочется пирожок съесть, да не хочется в подполье лезть.	Просьба — Согласие — Отказ
Хоть рыбы не есть, да в воду не лезть. И хочется, да не  можется.	Просьба — Согласие — Отказ
И хочется, да колется. И хочется, и колется, и матушка не  велит.	Просьба — Согласие — Отказ
Не все сбывается, что желается.	Просьба — Согласие — Отказ
И жарко желают, да руки поджимают.	Просьба — Согласие — Отказ
Погоди дуть, как дадут (т. е. как-то еще дадут).	Просьба — Согласие — Отказ
На хотенье есть терпенье. На хотенье живет терпенье.	Просьба — Согласие — Отказ
Я хочу! — Ну, хоти, поколе не расхочешь.	Просьба — Согласие — Отказ
Мне хочется! — Погодим, авось расхочется.	Просьба — Согласие — Отказ
Мне хочется! — А мне хохочется.	Просьба — Согласие — Отказ
Хочу, так не шучу! — Взабыль (взаправду) и не дают.	Просьба — Согласие — Отказ
